date,time,headline,label
2021-03-28,17:37:13,男女 主角 演技 稱職 ， 通俗 愛情 劇拍 的 還 不 狗血 ， 導演 功力 還 不錯 ! 演 男 主爸 的 蔡辰南 演 的 也 到位 ! ,0
2021-03-31,10:13:16,大家 好像 都 不 知道 這 是 翻拍 韓國 片😅😅😅 ,0
2021-04-03,16:36:27,本部 除了 許瑋甯 很 正 以外   其他 真的 很 普通   有 一點 笑料   不過 戲劇 張力 過 弱 ,0
2021-04-03,22:32:18,就 鄉土劇 的 濃縮版 吧 ， 笑點 是 屎屁 尿 ， 衝突點 是 暴力 與 金錢 ； 人物 成長點 是 絕症 . . . 伏筆 跟 閃回 有點 突兀 ， 沒 啥 驚喜 ， 結局 想來 的 首尾 呼應 ， 可惜 醫院 部分 拍 得 太 出戲 了 。 ,0
2021-04-03,23:12:07,"有 什麼 好看 的 , 抄 韓國 某 一 部 電影 的 劇情 , 沒 創意 , 別 以為 別人 都 不 知道 , 連 一 顆 星 都 不值 ",0
2021-04-04,17:19:27,劇情 張力 薄弱 ， 看完 只 覺得 許瑋甯 超衰 ,0
2021-04-04,21:12:27,演員 情感 細膩 ， 有 很多 感動 的 地方 ， 面紙 必須 準備好 ， 推 ！ ,0
2021-04-05,00:57:16,好笑 又 感人 的 國片 ， 值得 進 電影院 觀賞 ,0
2021-04-05,12:11:58,前面 甜甜 ， 後面 整 個 酸酸 ， 阿成 的 爸爸 從 家 裡 走出來 淋雨 那 幕 ， 整 個 爆哭 ,0
2021-04-05,17:12:57,劇情 普通 ， 但 全程 幾乎 台語 很 扣分 ,0
2021-04-06,17:08:55,很 有 啟發 的 一 部 片 ， 不同 的 思維 ， 滿 感動 ,0
2021-04-08,15:21:31,有夠 難看 ， 沒 劇情 沒 內容 ， 國片 加油 吧 ,0
2021-04-09,23:25:14,後面 越 40 分 鍾 太 拖戲 ， 一 部 電影 有 兩 場 告別式 ， 有點 不 知 在 看 什麽 重點 。 ,0
2021-04-10,14:59:57,. . . . . . 個人 認為 韓國版 比較 好看 ,0
2021-04-10,20:01:40,不 想 劇透 太多 ， 但是 認真 投入 去 看 真的 會 哭 ， 我 也 有 聽到 隔壁 擤 鼻涕 的 聲音 。 意外 發現 鍾欣凌 的 演技 很 棒 ， 雖然 不 是 我 喜歡 看 的 電影 類型 ， 看 了 也 不至於 後悔 ， 只是 我 看完 才 發現 是 大 悲劇 ， 而 我 很 不 喜歡 呀 … ,0
2021-04-10,20:05:15,不管 是 角色 設定 、 背景 設定 、 故事 情節 ， 全 都 很 爛 ， 不 知道 哪裡 好看 ， 哭 點 設計 的 過於 刻意 ， 沒有 深度 可 言 ,0
2021-04-10,21:31:28,這 類型 的 電影 還是 天 若 有情 經典 。 ,0
2021-04-10,22:57:27,國片 這些 年 就 是 流行 一 種 刻意風 ， 騙騙 小朋友 的 眼淚 ,0
2021-04-10,22:59:01,被 評價 騙來 的 ， 韓國 的 好看 多 了 ！ ！ ！ ！ ,0
2021-04-11,00:58:56,台語 真的 很 破 ， 光 用 聽 的 都 受不了 … ,0
2021-04-11,18:05:40,演員 演技 100 分   劇情 40 分   可惜 了   劇情 滿 蝦 的 ,0
