date,time,headline,label
2020-10-30,11:26:24,真的 太 好看 了   一定 二 刷    尤其 最後 真的 很 感人 ,1
2020-10-30,12:30:36,沒 帶 面紙 真的 是 失策   整 場 大爆哭   尤其 後面 半 小時 … 到 片尾曲 結束 都 捨不得 離開 座位 ,1
2020-10-30,12:48:50,超 感人   可樂   爆米花 不一定 要 有   但 面紙 記得 帶   散場 全部 的 人 都 等到 最後 一 刻   真的 捨不得 ,1
2020-10-30,13:40:03,"看 新竹 巨城 早場 ， 原本 以為 人 很多   但 沒想像 的 多 或許 是 平日 早上 
 對 動畫 電影 一直 是 抱持 不 上 影城 ， 只 等 下檔 找 網路 來 看
 看到 日本 那 個 票房 與 網路 一些 心得 想說 閒閒 沒 事 去 看 
 哭 點 很 高 的 我   在 後面 鼻頭 的 酸 不 是 普通 可以 形容   我 想 很多 人 都 會 被 逼哭  
 炎柱 與 母親 的 對談到 現在 還 讓 我 印象 深刻   現實 是 不 是 就 該 如此 才 美好 呢 ? 
 在 考慮 要不要 在 二 刷      最後 想 跟 各位 說   這 部 真的 是 部 好 電影   真的 好看 
 記得 帶 面紙 ， 不要 戴 隱形眼鏡 ",1
2020-10-30,13:59:23,感謝 幽浮社 ， 感謝 配音員 ， 感謝 LISA ， 成就 經典 動畫 ！ 謝謝 鱷魚 老師 雖然 篇章 不 長 但 會 永垂不朽 的 ～ ,1
2020-10-30,14:42:53,"太 感動 了 ～ 這 部 真的 是 神作
 一 刷 二 刷 三 刷 ！ ！ ！ ",1
2020-10-30,15:09:36,動畫 還 沒 看   未 看 先 猜 絕對 好看    上 弦 三粉絲 報到 ,1
2020-10-30,16:02:33,"太 感動 了 一定 二刷三刷
 記得 要 帶 衛生紙 ",1
2020-10-30,16:49:04,太 感動 了 啦 ！ 一定 要 二 刷三刷   記得 要 帶 大 包 衛生紙 ,1
2020-10-30,16:57:15,太 值得 二 刷 了 ， 戰鬥 畫面 非常 的 精采 都 不能 錯過 ， 後面 非常 的 精彩 ， 大家 有空 去 看 ,1
2020-10-30,17:00:53,看完 大爆哭   嗚嗚 嗚嗚 嗚嗚   後勁 很 強   一直 流淚 ,1
2020-10-30,17:12:45,值得 再一次 二 刷 ！ 真的 太 好看 了 ， 衛生紙 要 帶 多一點 ,1
2020-10-30,17:17:48,大哥 沒有 輸 ! ! ! ! ! ! ! ! ! ! ! ! ! ! ,1
2020-10-30,17:43:59,"很少 看 動畫片 的 我 覺得 超好 看
 沒有 冷場   非常 感人   都 快 哭 了 ~ ",1
2020-10-30,17:53:58,本來 只是 想 陪伴 孩子 看   沒想到 電影 非常 好看   無 冷場   很 勵志 的 電影   值得 推薦 ,1
2020-10-30,18:02:47,果然 又 是 繼 動畫 19 集 之後 的 一 部 神作 ， 肯定 會 再二 刷 的 ， 其他 的 電影 真的 不如 這 個 ， 大推 啊 ～ ,1
2020-10-30,18:20:27,好看到 爆炸 ！ 十刷 了 啦 ！ 無論 劇情 、 影視 效果 、 配樂 都 超 震撼 ！ 而且 非常 正 能量 滿 滿滿 ！ 好 好看 ！ ,1
2020-10-30,21:16:10,"最後 杏壽郎母親 出現 真的 哭爆 ， 杏壽郎 真的 貫徹 母親 給 的 任務 “ 保護 弱小 的 人 ”
 真的 很 受不了 犧牲 自己 的 性命 ， 保護 大家 的 片段 。 
杏壽郎 ， 你 贏 了 。 ",1
2020-10-30,22:18:26,十幾 年 沒 看 電影 看到 哭 了   這 部 絕對 由史以來 劇場版 唯一 神作   好看到 炸裂   準備 二 刷 ,1
2020-10-30,22:26:23,值得 去 看 ， 好 好看 ！ 燈 開 了 ， 字幕 跑完 大家 才 願意 散場 。 ,1
2020-10-30,22:29:18,感人 ， 值得 一 看 ， 戰鬥 畫面 一流 ！ ！ ！ ,1
2020-10-30,22:38:47,"雖然 看過 漫畫 知道 劇情 了 ， 可是 炭治郎 哭 得 時候 也 還是 跟著 哭 了 。 
 打鬥 畫面 跟 漫畫 完全 是 不同 等級 ， 超 精彩 很 有 張力 XD
 明天 準備 去 二 刷 ",1
2020-10-30,22:58:59,雖然 看過 漫畫 了 ， 但 特效 跟 對話 覺得 很 不錯 ， 感人 的 地方 讓 我 哭 了 二 次 … 真的 是 很 推鬼 滅粉 一定 要 來 看 的 電影 ， 我 有 打算 二 刷 。 ,1
2020-10-30,23:11:25,"太 好看 ， 很 精彩 , 打鬥 很 生動
 劇情 也 感人 ， 也 勵志 ， 雖然 忘記 帶 衛生紙
 但是 眼淚 照樣 不自覺 留下 太 愛 這 部 了 🥰 ",1
2020-10-30,23:43:31,劇情 不 多 說 了 ～ 已經 追完 漫畫 ！  但是 我 要 說 配音 動畫 品質 超讚 ！ 音樂 搭配 劇情 ！ 很 喜歡上 弦参 的 招式 的 伴奏 ！ 只 能 說 期待 票房 成績 ！ ！ 我 願意 去 好 一點 的 影廳 再 刷 一 次 ,1
2020-10-31,00:12:52,超 好看 的 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ,1
2020-10-31,00:50:45,看完 漫畫 在 去 看 動畫 ， 感觸 更深 ， 超 精彩 ， 絕無 冷場 ！ ！ ！ ,1
2020-10-31,01:28:57,"感謝 幽浮桌 、 讚嘆 幽浮桌 , 真的 是 錢 之 呼吸 呀 ! 
 溫馨 提醒 ： 衛生紙 務必 備好 , 我 哭掉 了 二 包
 我 看 的 那 一 場 , 結束 時 大家 都 還 坐 在 座位 上 啜泣 ， 真的 會 哭爆
杏壽郎 ~~~~ ",1
2020-10-31,01:31:53,有 看過 漫畫 ， 看完 電影 還是 有為 之 一 亮 的 感覺 ， 劇情 流暢 、 配樂 好聽 、 打鬥 畫面 超燃 ， 真的 很 推薦 ！ 一定 會 在 刷 一 次 ！ ,1
2020-10-31,01:50:09,超 好看 ， 當天 立馬 二 刷 ， 炎柱超帥 ， 很 可惜 太 短命 了 ,1
