date,time,headline,label
2021-04-29,12:04:43,"有 一 個 光頭 就 給 一 個 讚  !   !   ! 
 有 一 個 光頭 拿 著 槍   就 給 五星   !   !   ! ",1
2021-04-29,13:41:53,無 冷場 ， 光頭 傑森 就 是 讚 ！ ！ ！ ！ ！ ,1
2021-04-29,14:42:31,這 一 部 片 一定 會 全球 大賣 ， 實在 是 太 好看 了 。 音樂 好聽 ， 對白 有趣 . . . 男 主角 演技 驚人 ， 真是 最佳 男 主角 ， 最佳 影片 ， 最佳 配角 ， 最佳 劇本 ... ,1
2021-04-29,17:08:13,"傑森史塔森 太 酷 了 , 這 部 片 太 好看 了 , 我 還 要 多 看 幾 次 ",1
2021-04-29,20:02:23,"超爽超 好看 啊 ! ! ! 從 去年 到 今年 到底 悶 了 多久 ， 就 是 在 等 這 種 片 啊 ! ! ! ! 
 今年 目前 為止 最 好看 的 電影 沒有 之 一 ， 傑森史塔森 從頭到尾 殺好 殺滿 ， 黑吃 黑吃 黑吃黑 反轉 再 反轉 
 結局 不 像 一般 無 腦 動作片 ， 選擇 非常 黑色 幽默 又 不 落俗套 收尾 方式 ， 我 超愛 ! ! ! ",1
2021-04-29,22:01:05,"真 不 虧 是 蓋瑞奇👍🏻 超讚 的 啦 好看 
 傑森史塔森 好 帥 ",1
2021-04-30,00:03:41,超 好看 ， 黑色 暴力 爽片 ， 怎麼 廳數 這麼少 ,1
2021-04-30,06:48:43,近期 看過 最 好看 的 電影 ， 完全 沒有 冷場 ,1
2021-04-30,11:48:42,毫無 冷場 的 好 片 ， 09:20 的 早場 八成 滿 。 ,1
2021-05-01,00:32:17,我 覺得 還 不錯 啊 ！ 還是 有 蓋瑞奇 基本 水準 ， 整體 畫面 呈現 及 配樂 都 很 加分 ， 氣勢 十足 ， 有 人 說 看到 睡著 也 太 誇張 XD 槍聲 那麼 大聲 也 會 被 嚇醒 吧 。 傑森史塔森 的 表演 反而 讓 我 發現 他 內斂 壓抑 的 那 面 ， 需要 細細 品味 ！ 矮 唷 電影 就 是 要 看 爽 的 啊 我 只 知道 看完 爽炸😆 ,1
